employee_id,priority,pickup_lat,pickup_lng,drop_lat,drop_lng,earliest_pickup,latest_drop,vehicle_preference,sharing_preference
E01,1,12.9365,77.6248,12.9716,77.5946,08:10,09:00,premium,single
E02,1,12.934,77.622,12.9716,77.5946,08:15,09:10,premium,single
E03,2,12.931,77.62,12.9716,77.5946,08:20,09:30,any,double
E04,3,12.94,77.63,12.9716,77.5946,08:45,10:00,normal,triple
E05,4,12.918,77.61,12.9716,77.5946,09:15,10:45,any,triple
E06,2,12.95,77.635,12.9716,77.5946,08:30,09:45,any,double
E07,1,12.9525,77.628,12.9716,77.5946,08:05,09:00,premium,single
E08,3,12.927,77.642,12.9716,77.5946,09:00,10:30,normal,double
E09,5,12.941,77.631,12.9716,77.5946,10:00,12:00,any,triple
E10,4,12.925,77.6,12.9716,77.5946,09:30,11:00,any,triple
E11,2,12.96,77.64,12.9716,77.5946,08:40,09:50,any,double
E12,3,12.933,77.605,12.9716,77.5946,09:00,10:30,any,double
E13,1,12.955,77.62,12.9716,77.5946,08:00,08:50,premium,single
E14,4,12.919,77.608,12.9716,77.5946,09:45,11:15,any,triple
E15,2,12.948,77.635,12.9716,77.5946,08:35,09:45,normal,double
