employee_id,priority,pickup_lat,pickup_lng,drop_lat,drop_lng,earliest_pickup,latest_drop,vehicle_preference,sharing_preference
E01,1,12.936,77.625,12.9716,77.5946,08:15,09:15,premium,single
E02,2,12.931,77.621,12.9716,77.5946,08:30,09:45,any,double
E03,3,12.942,77.61,12.9716,77.5946,09:00,10:30,normal,triple
E04,2,12.9605,77.6385,12.9716,77.5946,08:45,10:00,any,double
E05,4,12.918,77.608,12.9716,77.5946,09:30,11:00,any,triple
E06,1,12.952,77.622,12.9716,77.5946,08:00,09:00,premium,single
E07,3,12.927,77.642,12.9716,77.5946,09:15,10:45,normal,double
E08,5,12.941,77.631,12.9716,77.5946,10:00,12:00,any,triple
E09,2,12.92,77.615,12.9716,77.5946,08:30,09:45,any,double
E10,4,12.948,77.635,12.9716,77.5946,09:45,11:30,normal,triple
E11,3,12.933,77.605,12.9716,77.5946,09:00,10:30,any,double
E12,1,12.955,77.628,12.9716,77.5946,08:15,09:15,premium,single
